Rang,X,Y,DA,Site,Yield
1,767996.152940463,6272400.12925074,0.40716028213501,1,1186.4390276137
1,768004.38296565,6272396.10974007,0.418139457702637,2,671.717764785696
1,768012.613001261,6272392.09023991,0.356560409069061,3,859.901473292095
1,768064.744213326,6272366.43751283,0.412784844636917,4,1164.01421275668
1,768081.172786113,6272358.27512987,0.407829076051712,5,1140.87881282864
1,768089.387088347,6272354.19395408,0.422959238290787,6,1636.42381966146
1,768097.601401139,6272350.11278875,0.419668823480606,7,1080.5061909874
1,768105.815724491,6272346.03163388,0.392804950475693,8,1056.83216993149
1,768114.030058403,6272341.95048948,0.445189028978348,9,1184.95859084575
2,767918.787552379,6272441.19878116,0.282182037830353,10,768.458463003058
2,767927.004679544,6272437.12916265,0.367888584733009,11,1114.88632937771
2,767935.221817243,6272433.05955462,0.349396288394928,12,1214.10695432568
2,767943.438965476,6272428.98995705,0.338804244995117,13,879.861975361439
2,767951.656124243,6272424.92036995,0.366561830043793,14,1158.01917529276
2,767959.873293543,6272420.85079332,0.378697112202644,15,918.413189525
2,767968.090473378,6272416.78122716,0.311541333794594,16,1024.29434717153
2,767976.307663746,6272412.71167146,0.344291150569916,17,986.909565481345
2,767984.524864648,6272408.64212624,0.369821280241013,18,1044.67095230537
2,767992.742076084,6272404.57259148,0.378586679697037,19,875.938005678917
2,768000.959298053,6272400.50306719,0.355111718177795,20,730.030738341412
2,768009.176530556,6272396.43355337,0.368849322199821,21,1149.43546244824
2,768017.393773593,6272392.36405001,0.437032297253609,22,1532.56323578749
2,768032.930092742,6272384.55948811,0.362395972013474,23,842.044399491476
2,768041.154624202,6272380.51829476,0.394658625125885,24,1219.50854857178
2,768049.379166133,6272376.47711188,0.41130168735981,25,1183.39344715988
2,768057.603718534,6272372.4359395,0.414035141468048,26,1198.43038880286
2,768065.828281407,6272368.39477761,0.38547158241272,27,620.835457724717
2,768074.05285475,6272364.35362621,0.419256091117859,28,1399.4538224523
2,768082.277438565,6272360.31248529,0.402383849024773,29,972.500701949839
2,768090.50203285,6272356.27135487,0.393740177154541,30,1213.93537512273
2,768098.726637607,6272352.23023493,0.419983357191086,31,1412.44875430922
2,768106.951252834,6272348.18912548,0.397508263587952,32,1356.19474994997
2,768115.175878532,6272344.14802652,0.44567483663559,33,1273.9980962941
3,767924.638186321,6272441.32167105,0.320448070764542,34,996.462990866173
3,767932.84898555,6272437.22757455,0.353772088885307,35,795.601263172299
3,767941.059795366,6272433.13348849,0.368603721261024,36,808.970157918887
3,767949.270615771,6272429.03941289,0.328091949224472,37,760.050976955168
3,767957.481446763,6272424.94534773,0.346645131707191,38,880.207338757704
3,767965.692288343,6272420.85129303,0.353067114949226,39,821.939039573635
3,767973.903140511,6272416.75724878,0.365618407726288,40,844.199205141137
3,767982.114003267,6272412.66321498,0.341115966439247,41,1081.70623379417
3,767990.324876611,6272408.56919163,0.3689955919981,42,1128.85072370258
3,767998.535760543,6272404.47517873,0.381349489092827,43,1034.5059178057
3,768006.746655062,6272400.38117628,0.313652098178864,44,1327.13724073367
3,768014.957560169,6272396.28718428,0.40665727853775,45,1329.44576644448
3,768026.081137973,6272391.05979876,0.269033968448639,46,1078.15740743352
3,768034.303985291,6272387.01206399,0.362228393554688,47,919.830065228811
3,768042.526843094,6272382.9643397,0.394658625125885,48,1028.32449694083
3,768050.749711382,6272378.9166259,0.434605240821838,49,1205.17059202326
3,768058.972590156,6272374.86892258,0.396775767207146,50,1129.00235820113
3,768067.195479415,6272370.82122975,0.390135824680328,51,877.901341474473
3,768075.41837916,6272366.7735474,0.398731097579002,52,1277.83247653921
3,768083.64128939,6272362.72587554,0.385629132390022,53,1061.67768892506
3,768091.864210105,6272358.67821416,0.38852134346962,54,1317.73060389212
3,768100.087141306,6272354.63056326,0.415268421173096,55,1338.14872486643
3,768108.310082992,6272350.58292285,0.387301832437515,56,914.532241221272
3,768116.533035164,6272346.53529292,0.417993351817131,57,1200.68321161085
4,767920.864040666,6272445.66531857,0.271420478820801,58,871.604096931571
4,767929.079452932,6272441.58907106,0.349841609597206,59,1075.24961518125
4,767937.294875745,6272437.512834,0.361239165067673,60,887.778431706193
4,767945.510309108,6272433.43660741,0.381557747721672,61,877.604602823193
4,767953.725753019,6272429.36039129,0.352275103330612,62,993.532255364383
4,767961.941207478,6272425.28418562,0.343016013503075,63,1074.21312686816
4,767970.156672486,6272421.20799043,0.357822328805923,64,1125.35212904979
4,767978.372148043,6272417.13180569,0.367612153291702,65,1061.05264470469
4,767986.587634147,6272413.05563142,0.362983137369156,66,1197.0620000209
4,767994.8031308,6272408.97946761,0.379460230469704,67,1050.63338966525
4,768003.018638002,6272404.90331427,0.37838289141655,68,1364.75002054299
4,768011.234155752,6272400.82717138,0.369763970375061,69,1067.43917232172
4,768019.44968405,6272396.75103897,0.432542949914932,70,1078.58233820159
4,768027.283362112,6272393.34245429,0.262998282909393,71,896.853006622313
4,768035.49424684,6272389.24832361,0.377469345927238,72,1265.32335841234
4,768043.705142157,6272385.15420339,0.383346527814865,73,982.798988238569
4,768051.916048061,6272381.06009362,0.396184578537941,74,918.312525602196
4,768060.126964554,6272376.9659943,0.371162757277489,75,683.783870476534
4,768068.337891635,6272372.87190543,0.381788924336433,76,1034.7070698149
4,768076.548829304,6272368.77782701,0.378465354442596,77,1020.82659307567
4,768084.759777561,6272364.68375904,0.378961175680161,78,806.776174695643
4,768092.970736406,6272360.58970153,0.414643496274948,79,933.484128397345
4,768101.181705839,6272356.49565446,0.406085163354874,80,1202.80526788688
4,768109.392685859,6272352.40161785,0.389711201190948,81,1124.26997547723
4,768117.603676468,6272348.30759168,0.411835044622421,82,1126.07952848198
5,767927.219448189,6272445.89479138,0.350980550050735,83,916.293872017611
5,767935.431804739,6272441.80672107,0.371352821588516,84,1093.05088866441
5,767943.644171863,6272437.7186612,0.388186827301979,85,812.419388600067
5,767951.856549562,6272433.6306118,0.368436887860298,86,1201.41178160209
5,767960.068937836,6272429.54257284,0.371455132961273,87,942.096982477743
5,767968.281336684,6272425.45454435,0.378177180886269,88,1074.18211378994
5,767976.493746106,6272421.36652631,0.380086541175842,89,1069.880981848
5,767984.706166104,6272417.27851872,0.398266941308975,90,1238.52356818045
5,767992.918596675,6272413.19052159,0.398664399981499,91,1080.33106010846
5,768001.131037822,6272409.10253491,0.400602608919144,92,1478.91398396326
5,768009.343489542,6272405.01455869,0.382323354482651,93,1014.7085029766
5,768017.555951838,6272400.92659292,0.434471130371094,94,1215.75850501137
5,768027.609577736,6272395.61577334,0.262998282909393,95,980.157244011886
5,768035.829333975,6272391.55600979,0.382587462663651,96,1039.71583309784
5,768044.049100726,6272387.49625672,0.360213190317154,97,840.062135312292
5,768052.268877988,6272383.43651412,0.372822672128677,98,1155.96487695827
5,768060.488665764,6272379.37678199,0.391004621982574,99,1125.17534432164
5,768068.708464051,6272375.31706034,0.401785284280777,100,1303.61827848316
5,768076.92827285,6272371.25734917,0.354801058769226,101,871.343116117699
5,768085.148092161,6272367.19764847,0.366733238101006,102,951.050216922099
5,768093.367921985,6272363.13795825,0.426245808601379,103,1339.90897741505
5,768101.58776232,6272359.0782785,0.426980063319206,104,1353.7610359581
5,768109.807613168,6272355.01860923,0.395661115646362,105,1048.33712362144
5,768118.027474527,6272350.95895044,0.439266204833984,106,1234.50413152237
6,767923.32504773,6272450.44888891,0.24741604924202,107,829.235580185666
6,767931.535746681,6272446.3544526,0.389910623431206,108,1287.90094370574
6,767939.74645622,6272442.26002673,0.373841121792793,109,874.994690446285
6,767947.957176348,6272438.16561132,0.35100357234478,110,1074.73734240149
6,767956.167907065,6272434.07120636,0.354649230837822,111,730.402227878155
6,767964.378648371,6272429.97681185,0.383025079965591,112,1179.80877138504
6,767972.589400265,6272425.88242779,0.34680937230587,113,1081.19852405213
6,767980.800162747,6272421.78805418,0.388948112726212,114,1089.31592128018
6,767989.010935818,6272417.69369102,0.395476788282394,115,1041.2909159877
6,767997.221719478,6272413.59933831,0.406755656003952,116,1064.97657789286
6,768005.432513726,6272409.50499605,0.378291040658951,117,976.164101778867
6,768013.643318563,6272405.41066424,0.39999982714653,118,896.271866142962
6,768021.854133989,6272401.31634289,0.459991946816444,119,1191.59161048346
6,768028.987001922,6272397.90029476,0.25120809674263,120,491.905713897972
6,768037.206993799,6272393.84145801,0.369683742523193,121,1080.43762564401
6,768045.426996186,6272389.78263174,0.374941721558571,122,1437.96489025065
6,768053.647009084,6272385.72381594,0.383588314056396,123,1188.08014409822
6,768061.867032491,6272381.66501062,0.429883882403374,124,1157.4530822756
6,768070.087066408,6272377.60621577,0.422131478786469,125,1606.90679260588
6,768078.307110835,6272373.5474314,0.392059057950974,126,1228.61024628362
6,768086.527165773,6272369.48865751,0.426846280694008,127,1268.10902042518
6,768094.74723122,6272365.42989409,0.410657480359077,128,945.852036980999
6,768102.967307178,6272361.37114115,0.440789639949799,129,996.349588650332
6,768111.187393645,6272357.31239869,0.446783304214478,130,1024.23102756695
6,768119.407490623,6272353.2536667,0.431505531072617,131,1150.12985600693
6,768127.62759811,6272349.19494519,0.425106912851334,132,797.143692938692
7,767929.280393793,6272450.11924592,0.376455932855606,133,884.473994994528
7,767937.495879503,6272446.04329455,0.388144284486771,134,900.751780869965
7,767945.711375761,6272441.96735365,0.41633577644825,135,1318.6227458171
7,767953.926882567,6272437.8914232,0.394035294651985,136,1287.17310516103
7,767962.14239992,6272433.81550322,0.392109453678131,137,922.708342654057
7,767970.357927822,6272429.73959371,0.388529717922211,138,993.568691174987
7,767978.573466271,6272425.66369466,0.400070071220398,139,1004.72046903086
7,767986.789015268,6272421.58780607,0.393125087022781,140,1039.26271708606
